Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
1433 Livernois,18007165.,100.00,07/14/2015,Closed,Selected,,Side Lot,6,Central Southwest,42.311583,-83.107448,"location
(42.311583, -83.107448)"
1409 Livernois,18007169.,100.00,08/18/2015,Closed,Selected,,Side Lot,6,Central Southwest,42.311294,-83.107236,"location
(42.311294, -83.107236)"
1791 Infantry,18007284.,100.00,07/25/2015,Closed,Selected,,Side Lot,6,Central Southwest,42.314282,-83.110974,"location
(42.314282, -83.110974)"
1751 Infantry,18007290.,100.00,12/16/2015,Closed,Selected,,Side Lot,6,Central Southwest,42.313774,-83.110606,"location
(42.313774, -83.110606)"
1581 Infantry,18007306.,100.00,07/25/2015,Closed,Selected,,Side Lot,6,Central Southwest,42.31255,-83.109719,"location
(42.31255, -83.109719)"
1573 Infantry,18007307.,100.00,07/25/2015,Closed,Selected,,Side Lot,6,Central Southwest,42.312478,-83.109666,"location
(42.312478, -83.109666)"
1090 Crawford,18007409.,100.00,12/22/2015,Closed,Selected,,Side Lot,6,Central Southwest,42.309197,-83.107153,"location
(42.309197, -83.107153)"
1102 Crawford,18007411.,100.00,05/20/2016,Closed,Selected,,Side Lot,6,Central Southwest,42.309369,-83.10728,"location
(42.309369, -83.10728)"
1108 Crawford,18007412.,100.00,11/05/2015,Closed,Selected,,Side Lot,6,Central Southwest,42.309442,-83.107332,"location
(42.309442, -83.107332)"
6401 Regular,18007437.,100.00,03/10/2016,Closed,Selected,,Side Lot,6,Central Southwest,42.311452,-83.108596,"location
(42.311452, -83.108596)"
1315 Crawford,18007440.,100.00,09/29/2016,Closed,Selected,,Side Lot,6,Central Southwest,42.310987,-83.109203,"location
(42.310987, -83.109203)"
5794 Cadieux,21075040-1,100.00,06/27/2015,Closed,Selected,,Side Lot,4,Cornerstone Village,42.412492,-82.933646,"location
(42.412492, -82.933646)"
5764 Guilford,21075688.,100.00,03/18/2016,Closed,Selected,,Side Lot,4,Cornerstone Village,42.41299,-82.930571,"location
(42.41299, -82.930571)"
12741 Glenfield,21010670.,100.00,06/27/2015,Closed,Selected,,Side Lot,4,Eden Gardens,42.414375,-82.983066,"location
(42.414375, -82.983066)"
6363 Greenview,22080758.,100.00,10/16/2017,Closed,Selected,,Side Lot,7,Warrendale,42.337014,-83.222093,"location
(42.337014, -83.222093)"
21540 Orchard,22014272.,100.00,05/17/2017,Closed,Selected,,Side Lot,1,Holcomb Community,42.418268,-83.254915,"location
(42.418268, -83.254915)"
21515 Santa Clara,22014361.,100.00,04/20/2017,Closed,Selected,,Side Lot,1,Holcomb Community,42.418611,-83.255173,"location
(42.418611, -83.255173)"
21639 Santa Clara,22014366.,100.00,03/19/2016,Closed,Selected,,Side Lot,1,Holcomb Community,42.418583,-83.256135,"location
(42.418583, -83.256135)"
21440 Santa Clara,22014395.,100.00,05/29/2015,Closed,Selected,,Side Lot,1,Holcomb Community,42.419077,-83.253873,"location
(42.419077, -83.253873)"
21645 Bennett,22014484.,100.00,05/01/2017,Closed,Selected,,Side Lot,1,Holcomb Community,42.419373,-83.256362,"location
(42.419373, -83.256362)"
16546 Prairie,16022784.,100.00,06/25/2015,Closed,Selected,,Side Lot,2,Fitzgerald/Marygrove,42.413037,-83.144674,"location
(42.413037, -83.144674)"
18420 Patton,22104119.,100.00,12/15/2017,Closed,Selected,,Side Lot,1,Holcomb Community,42.424673,-83.244863,"location
(42.424673, -83.244863)"
5269 Alter,21062990.,100.00,05/01/2017,Closed,Selected,,Side Lot,4,Chandler Park-Chalmers,42.399374,-82.95688,"location
(42.399374, -82.95688)"
13057 Elmdale,21007405.,100.00,04/08/2017,Closed,Selected,,Side Lot,4,Outer Drive-Hayes,42.408011,-82.975393,"location
(42.408011, -82.975393)"
4310 Alter,21062870.,100.00,09/13/2016,Closed,Selected,,Side Lot,4,Morningside,42.392558,-82.95088,"location
(42.392558, -82.95088)"
4330 Alter,21062873.,100.00,07/13/2016,Closed,Selected,,Side Lot,4,Morningside,42.392816,-82.951053,"location
(42.392816, -82.951053)"
14182 Seymour,21016955.,100.00,04/27/2015,Closed,Selected,,Side Lot,4,Mapleridge,42.426797,-82.977453,"location
(42.426797, -82.977453)"
14178 Seymour,21016956.,100.00,04/27/2015,Closed,Selected,Homebuyer,Side Lot,4,Mapleridge,42.426796,-82.977582,"location
(42.426796, -82.977582)"
14172 Seymour,21016957.,100.00,04/29/2015,Closed,Selected,,Side Lot,4,Mapleridge,42.426795,-82.977712,"location
(42.426795, -82.977712)"
14359 Marlowe,22041324.,100.00,03/24/2018,Closed,Selected,,Side Lot,1,Hubbell-Lyndon,42.393228,-83.189847,"location
(42.393228, -83.189847)"
9159 Forrer,22054731.,100.00,09/21/2015,Closed,Selected,,Side Lot,7,Joy Community,42.361809,-83.200624,"location
(42.361809, -83.200624)"
6639 Forrer,22054831.,100.00,12/19/2016,Closed,Selected,,Side Lot,7,Warren Ave Community,42.339754,-83.200097,"location
(42.339754, -83.200097)"
13900 Prevost,22054866.001,100.00,08/03/2016,Closed,Selected,,Side Lot,1,Greenfield-Grand River,42.387117,-83.202066,"location
(42.387117, -83.202066)"
14430 Prevost,22054921.,100.00,11/17/2016,Closed,Selected,,Side Lot,1,Greenfield-Grand River,42.39356,-83.202399,"location
(42.39356, -83.202399)"
4121 Trenton,20010616.,100.00,07/19/2017,Closed,Selected,,Side Lot,6,Claytown,42.324509,-83.143773,"location
(42.324509, -83.143773)"
9529 Pierson,22107164.,100.00,06/19/2018,Closed,Selected,,Side Lot,7,Franklin Park,42.36507,-83.24506,"location
(42.36507, -83.24506)"
8903 Pierson,22107214.,100.00,02/06/2018,Closed,Selected,,Side Lot,7,Franklin Park,42.35895,-83.24481,"location
(42.35895, -83.24481)"
4850 Ogden,20010165.,100.00,08/27/2015,Closed,Selected,,Side Lot,6,Claytown,42.328645,-83.145021,"location
(42.328645, -83.145021)"
5730 Trenton,20010453.,100.00,08/18/2015,Closed,Selected,,Side Lot,6,Claytown,42.333534,-83.149754,"location
(42.333534, -83.149754)"
5217 TRENTON,20010533.,100.00,08/16/2016,Closed,Selected,,Side Lot,6,Claytown,42.331378,-83.148916,"location
(42.331378, -83.148916)"
4815 Trenton,20010572.,100.00,03/24/2018,Closed,Selected,,Side Lot,6,Claytown,42.327703,-83.146087,"location
(42.327703, -83.146087)"
4269 Trenton,20010591.,100.00,05/11/2015,Closed,Selected,,Side Lot,6,Claytown,42.326322,-83.145086,"location
(42.326322, -83.145086)"
4257 Trenton,20010593.,100.00,01/20/2017,Closed,Selected,,Side Lot,6,Claytown,42.326177,-83.14498,"location
(42.326177, -83.14498)"
4155 Trenton,20010610.,100.00,08/31/2015,Closed,Selected,,Side Lot,6,Claytown,42.324945,-83.144088,"location
(42.324945, -83.144088)"
4149 Trenton,20010611.,100.00,08/24/2015,Closed,Selected,,Side Lot,6,Claytown,42.324872,-83.144036,"location
(42.324872, -83.144036)"
4041 Trenton,20010629.,100.00,09/20/2017,Closed,Selected,,Side Lot,6,Claytown,42.323558,-83.143086,"location
(42.323558, -83.143086)"
3979 Trenton,20010639.,100.00,09/08/2017,Closed,Selected,,Side Lot,6,Claytown,42.322832,-83.14256,"location
(42.322832, -83.14256)"
3600 Beaconsfield,21065602.,100.00,07/11/2017,Closed,Selected,,Side Lot,4,Morningside,42.389556,-82.94334,"location
(42.389556, -82.94334)"
4830 Parker,17008857.,100.00,07/18/2018,Closed,Selected,,Side Lot,5,Gratiot-Grand,42.375503,-83.010673,"location
(42.375503, -83.010673)"
14159 Mayfield,21015029.,100.00,12/03/2015,Closed,Selected,,Side Lot,4,Mapleridge,42.42244,-82.978028,"location
(42.42244, -82.978028)"
14167 Mayfield,21015031.,100.00,12/04/2015,Closed,Selected,,Side Lot,4,Mapleridge,42.422443,-82.977806,"location
(42.422443, -82.977806)"
14221 Mayfield,21015041.,100.00,04/07/2018,Closed,Selected,,Side Lot,4,Mapleridge,42.422461,-82.976451,"location
(42.422461, -82.976451)"
5961 Lakeview,21052447.,100.00,11/17/2017,Closed,Selected,,Side Lot,4,Chandler Park,42.401115,-82.968418,"location
(42.401115, -82.968418)"
9038 Prairie,16022500.,100.00,04/18/2017,Closed,Selected,,Side Lot,6,Midwest,42.3614,-83.142606,"location
(42.3614, -83.142606)"
17344 Stout,22101379.,100.00,03/24/2018,Closed,Selected,,Side Lot,1,Holcomb Community,42.41801,-83.242158,"location
(42.41801, -83.242158)"
3685 Haverhill,21070321.,100.00,06/27/2015,Closed,Selected,,Side Lot,4,Morningside,42.392456,-82.937455,"location
(42.392456, -82.937455)"
3507 Haverhill,21070333.,100.00,01/12/2017,Closed,Selected,,Side Lot,4,Morningside,42.391122,-82.936577,"location
(42.391122, -82.936577)"
4690 Bedford,21070784.,100.00,10/30/2017,Closed,Selected,,Side Lot,4,Morningside,42.399986,-82.939283,"location
(42.399986, -82.939283)"
15431 Manor,16045738.,100.00,09/14/2016,Closed,Selected,,Side Lot,2,Bethune Community,42.404583,-83.168732,"location
(42.404583, -83.168732)"
13663 Manor,16045806.,100.00,10/04/2016,Closed,Selected,,Side Lot,7,Northwest Community,42.388141,-83.167953,"location
(42.388141, -83.167953)"
7922 St Paul,17000096.002,100.00,04/30/2015,Closed,Selected,,Side Lot,5,West Village,42.355853,-82.999182,"location
(42.355853, -82.999182)"
7900 St Paul,17000097.002L,100.00,06/29/2017,Closed,Selected,,Side Lot,5,West Village,42.35578,-82.999545,"location
(42.35578, -82.999545)"
14202 Saratoga,21019082.,100.00,07/14/2016,Closed,Selected,,Side Lot,4,Mapleridge,42.432607,-82.977135,"location
(42.432607, -82.977135)"
14068 Saratoga,21019089.,100.00,09/08/2016,Closed,Selected,,Side Lot,4,Mapleridge,42.432612,-82.97826,"location
(42.432612, -82.97826)"
9015 Rutland,22069047.,100.00,03/25/2017,Closed,Selected,Homebuyer,Side Lot,7,Joy Community,42.359909,-83.21323,"location
(42.359909, -83.21323)"
7841 Rutland,22069060.,100.00,11/18/2016,Closed,Selected,,Side Lot,7,Warren Ave Community,42.350153,-83.213153,"location
(42.350153, -83.213153)"
7471 Rutland,22069088.,100.00,03/24/2018,Closed,Selected,,Side Lot,7,Warren Ave Community,42.346849,-83.213034,"location
(42.346849, -83.213034)"
14165 Burt Rd,22108035-6,100.00,08/08/2016,Closed,Selected,,Side Lot,1,Brightmoor,42.38944,-83.247056,"location
(42.38944, -83.247056)"
