Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
18707 Robson,22044071.,8100.00,06/23/2015,Closed,Selected,Investor,Auction,2,Winship,42.428523,-83.194058,"location
(42.428523, -83.194058)"
18475 Robson,22044090.,17650.00,06/29/2015,Closed,Selected,Investor,Auction,2,Winship,42.426294,-83.193973,"location
(42.426294, -83.193973)"
18945 Oakfield,22069586.,1000.00,06/09/2017,Closed,Selected,Investor,Auction,2,College Park,42.429016,-83.215289,"location
(42.429016, -83.215289)"
18715 Oakfield,22069592.,2900.00,11/27/2017,Closed,Selected,Investor,Auction,2,College Park,42.428156,-83.215263,"location
(42.428156, -83.215263)"
18263 Oakfield,22069628.,14600.00,06/18/2018,Closed,Selected,,Auction,2,College Park,42.423851,-83.215098,"location
(42.423851, -83.215098)"
6912 Longacre,22070235.,14500.00,11/20/2014,Closed,Selected,Homebuyer,Auction,7,Warren Ave Community,42.342808,-83.213087,"location
(42.342808, -83.213087)"
13994 Longacre,22070457.,5900.00,06/10/2015,Closed,Selected,Investor,Auction,1,Grandmont,42.388146,-83.214248,"location
(42.388146, -83.214248)"
9025 Stahelin,22083870.,3100.00,12/11/2015,Closed,Selected,Homebuyer,Auction,7,Franklin Park,42.359898,-83.225328,"location
(42.359898, -83.225328)"
6255 Stahelin,22084067.,1700.00,11/19/2015,Closed,Selected,Investor,Auction,7,Warrendale,42.335644,-83.224356,"location
(42.335644, -83.224356)"
6245 Stahelin,22084069.,7700.00,04/28/2017,Closed,Selected,Homebuyer,Auction,7,Warrendale,42.335424,-83.224351,"location
(42.335424, -83.224351)"
6206 Artesian,22084139.,1000.00,10/02/2014,Closed,Selected,Investor,Auction,7,Warrendale,42.334642,-83.224921,"location
(42.334642, -83.224921)"
6218 Artesian,22084141.,1500.00,10/09/2014,Closed,Selected,Homebuyer,Auction,7,Warrendale,42.334861,-83.224928,"location
(42.334861, -83.224928)"
6234 Artesian,22084144.,6700.00,10/13/2016,Closed,Selected,Homebuyer,Auction,7,Warrendale,42.33519,-83.224937,"location
(42.33519, -83.224937)"
6800 Artesian,22084194.,20640.00,04/28/2017,Closed,Selected,Homebuyer,Auction,7,Warrendale,42.341112,-83.225151,"location
(42.341112, -83.225151)"
5997 Kensington,21072938.,15300.00,07/16/2015,Closed,Selected,Homebuyer,Auction,4,East English Village,42.411818,-82.940789,"location
(42.411818, -82.940789)"
