Address,Parcel ID,Program,Listing Date,Neighborhood,Council District,Latitude,Longitude,Location
14300 Glenfield,21010423.,Own It Now,05/07/2018,Eden Gardens,4,42.417091,-82.973639,"location
(42.417091, -82.973639)"
14438 Maddelein,21021451.,Own It Now,05/29/2018,Regent Park,3,42.435742,-82.97434,"location
(42.435742, -82.97434)"
14578 Lappin,21021737.,Own It Now,03/12/2018,Regent Park,3,42.436743,-82.971842,"location
(42.436743, -82.971842)"
14739 Lappin,21021816.,Own It Now,03/26/2018,Regent Park,3,42.43735,-82.970867,"location
(42.43735, -82.970867)"
14726 Novara,21022443.,Own It Now,01/08/2018,Regent Park,3,42.439059,-82.971134,"location
(42.439059, -82.971134)"
14711 Tacoma,21023829.,Own It Now,10/23/2017,Regent Park,3,42.44193,-82.97152,"location
(42.44193, -82.97152)"
19159 Reno,21029399.,Own It Now,10/30/2017,Franklin,3,42.435857,-82.983296,"location
(42.435857, -82.983296)"
12886 Hickory,21030210.,Own It Now,07/30/2018,Gratiot-Findlay,4,42.425577,-82.985876,"location
(42.425577, -82.985876)"
18480 Westphalia,21031610.,Own It Now,06/18/2018,Von Steuben,3,42.430511,-82.991924,"location
(42.430511, -82.991924)"
18719 Westphalia,21031894.,Own It Now,05/29/2018,Von Steuben,3,42.432806,-82.992707,"location
(42.432806, -82.992707)"
18508 Goulburn,21032107.,Own It Now,06/11/2018,Von Steuben,3,42.430855,-82.993161,"location
(42.430855, -82.993161)"
18716 Goulburn,21032125.,Own It Now,05/14/2018,Von Steuben,3,42.432792,-82.993224,"location
(42.432792, -82.993224)"
18515 Goulburn,21032402.,Own It Now,06/04/2018,Von Steuben,3,42.43094,-82.993842,"location
(42.43094, -82.993842)"
19791 Annott,21035585.,Own It Now,04/30/2018,Pulaski,3,42.441496,-83.002856,"location
(42.441496, -83.002856)"
12519 Whitehill,21058252.,Own It Now,07/23/2018,Moross-Morang,4,42.431533,-82.949055,"location
(42.431533, -82.949055)"
4549 Farmbrook,21078205.,Own It Now,05/14/2018,Cornerstone Village,4,42.406915,-82.917906,"location
(42.406915, -82.917906)"
22440 Puritan,22012192.,Own It Now,02/05/2018,Riverdale,1,42.407689,-83.262927,"location
(42.407689, -83.262927)"
14225 SORRENTO,22024194.,Own It Now,06/25/2018,Happy Homes,7,42.391763,-83.172486,"location
(42.391763, -83.172486)"
12103 Ward,22025363.,Own It Now,07/02/2018,Pride Area Community,7,42.376983,-83.173577,"location
(42.376983, -83.173577)"
15000 Cheyenne,22025830.,Own It Now,07/02/2018,Bethune Community,2,42.400097,-83.174386,"location
(42.400097, -83.174386)"
9980 Carlin,22032080.,Own It Now,11/27/2017,Plymouth-Hubbell,7,42.369455,-83.178691,"location
(42.369455, -83.178691)"
14591 Ardmore,22035283.,Own It Now,11/13/2017,Bethune Community,1,42.396019,-83.184542,"location
(42.396019, -83.184542)"
14320 Freeland,22035554.,Own It Now,06/11/2018,Hubbell-Lyndon,1,42.392821,-83.184838,"location
(42.392821, -83.184838)"
12101 Winthrop,22052491.,Own It Now,06/18/2018,Plymouth-I96,7,42.376174,-83.199246,"location
(42.376174, -83.199246)"
12936 Montrose,22053031.,Auction,08/03/2018,Schoolcraft Southfield,1,42.384331,-83.200083,"location
(42.384331, -83.200083)"
11391 St Marys,22059303.,Own It Now,06/25/2018,Joy Community,7,42.371422,-83.205065,"location
(42.371422, -83.205065)"
19315 Oakfield,22069563.,Own It Now,06/18/2018,Greenfield,2,42.432322,-83.215428,"location
(42.432322, -83.215428)"
14324 Minock,22090805.,Own It Now,04/09/2018,Westwood Park,1,42.391549,-83.233097,"location
(42.391549, -83.233097)"
18519 Braile,22105567.,Own It Now,04/30/2018,Holcomb Community,1,42.425981,-83.246484,"location
(42.425981, -83.246484)"
14151 Braile,22105794.,Own It Now,07/02/2018,Brightmoor,1,42.389272,-83.244686,"location
(42.389272, -83.244686)"
16725 Rockdale,22114319.,Own It Now,04/23/2018,Riverdale,1,42.411808,-83.258827,"location
(42.411808, -83.258827)"
15361 Lamphere,22116502.,Own It Now,06/04/2018,Brightmoor,1,42.401669,-83.262174,"location
(42.401669, -83.262174)"
16725 Bramell,22117754.,Own It Now,06/04/2018,Riverdale,1,42.411725,-83.265053,"location
(42.411725, -83.265053)"
1631 E Outer Drive,13008916.,Auction,07/28/2018,Butler,3,42.440561,-83.078044,"location
(42.440561, -83.078044)"
3200 E Outer Drive,13008715.,Auction,07/29/2018,Farwell,3,42.440342,-83.048948,"location
(42.440342, -83.048948)"
